corpus,row,model,label,position
carebench,223,Llama,QOP,0.43667861409796893
carebench,223,Llama,RECT,0.497610513739546
carebench,223,Llama,DIR,0.5376344086021505
carebench,223,Llama,DIR,0.6081242532855436
carebench,223,Llama,RECT,0.6756272401433692
carebench,223,Llama,DIR,0.7102747909199522
carebench,223,Llama,RECT,0.8655913978494624
carebench,223,Llama,DIR,0.9330943847072879
hope,68,Claude,MEN,0.0
hope,68,Claude,LMT,0.014962593516209476
hope,68,Claude,SAC,0.08478802992518704
hope,68,Claude,SAC,0.1571072319201995
hope,68,Claude,SAC,0.1970074812967581
hope,68,Claude,VAC,0.2743142144638404
hope,68,Claude,SAC,0.4089775561097257
hope,68,Claude,TEN,0.47381546134663344
hope,68,Claude,NAC,0.6059850374064838
hope,68,Claude,VAC,0.8229426433915212
hope,294,Llama,AUR,0.0
hope,294,Llama,LMT,0.0794044665012407
hope,294,Llama,AUR,0.1774193548387097
hope,294,Llama,LMT,0.23449131513647642
hope,294,Llama,AUR,0.3709677419354839
hope,294,Llama,LMT,0.3759305210918114
hope,294,Llama,LMT,0.47146401985111663
hope,294,Llama,VAC,0.5297766749379652
hope,294,Llama,AUR,0.5719602977667494
hope,294,Llama,NAC,0.5719602977667494
hope,294,Llama,RECT,0.6476426799007444
hope,294,Llama,DIR,0.6476426799007444
hope,294,Llama,FIX,0.6476426799007444
hope,294,Llama,RECT,0.8511166253101737
hope,294,Llama,DIR,0.8511166253101737
hope,294,Llama,FIX,0.8511166253101737
carebench,66,Human,TEN,0.0
carebench,66,Human,AUR,0.09076433121019108
carebench,66,Human,DIR,0.29777070063694266
carebench,66,Human,AUR,0.41878980891719747
carebench,66,Human,AUR,0.5191082802547771
carebench,66,Human,TEN,0.5636942675159236
carebench,66,Human,QOP,0.8121019108280255
carebench,66,Human,QOP,0.8996815286624203
pair,1,GPT,DIR,0.0
pair,1,GPT,FIX,0.0
pair,1,GPT,DIR,0.061309030654515324
pair,1,GPT,FIX,0.061309030654515324
pair,1,GPT,DIR,0.12096106048053024
pair,1,GPT,RECT,0.1491300745650373
pair,1,GPT,DIR,0.1491300745650373
pair,1,GPT,RECT,0.16818558409279205
pair,1,GPT,DIR,0.16818558409279205
pair,1,GPT,RECT,0.2104391052195526
pair,1,GPT,DIR,0.2104391052195526
pair,1,GPT,RECT,0.24109362054681027
pair,1,GPT,DIR,0.24109362054681027
pair,1,GPT,RECT,0.35459817729908866
pair,1,GPT,DIR,0.35459817729908866
pair,1,GPT,RECT,0.4498757249378625
pair,1,GPT,DIR,0.4498757249378625
pair,1,GPT,RECT,0.46893123446561724
pair,1,GPT,DIR,0.46893123446561724
pair,1,GPT,RECT,0.5526097763048882
pair,1,GPT,DIR,0.5526097763048882
pair,1,GPT,RECT,0.6023198011599006
pair,1,GPT,DIR,0.6023198011599006
pair,1,GPT,DIR,0.6404308202154101
pair,1,GPT,FIX,0.6404308202154101
pair,1,GPT,DIR,0.7315658657829329
pair,1,GPT,FIX,0.7315658657829329
pair,1,GPT,DIR,0.7555923777961889
pair,1,GPT,RECT,0.7555923777961889
pair,1,GPT,FIX,0.7555923777961889
pair,1,GPT,QOP,0.9047224523612262
pair,1,GPT,ASAC,0.9047224523612262
hope,293,GPT,SEN,0.05786090005844535
hope,293,GPT,AUR,0.05786090005844535
hope,293,GPT,DIR,0.1548801870251315
hope,293,GPT,FIX,0.46697837521917007
hope,293,GPT,RECT,0.5862068965517241
hope,293,GPT,RECT,0.6580946814728229
hope,293,GPT,RECT,0.7632963179427236
hope,293,GPT,RECT,0.8106370543541789
hope,293,GPT,DIR,0.891291642314436
hope,293,GPT,DIR,0.9070718877849211
hope,293,GPT,DIR,0.9573348918760959
hope,293,GPT,VAC,0.3021624780829924
hope,293,GPT,NAC,0.35768556399766216
hope,293,GPT,TSH,0.38866160140268846
hope,293,GPT,LMT,0.3337229690239626
hope,293,GPT,SAC,0.3021624780829924
hope,293,GPT,ASAC,0.8147282291057861
hope,293,GPT,ASAC,0.6627703097603741
hope,293,GPT,ASAC,0.7632963179427236
carebench,270,Claude,SEN,0.0
carebench,270,Claude,VAC,0.0
carebench,270,Claude,SAC,0.0
carebench,270,Claude,TEN,0.0
carebench,270,Claude,LMT,0.0
carebench,270,Claude,DIR,0.0687719298245614
carebench,270,Claude,TSH,0.0687719298245614
carebench,270,Claude,DIR,0.0968421052631579
carebench,270,Claude,TSH,0.0968421052631579
carebench,270,Claude,VAC,0.1143859649122807
carebench,270,Claude,NAC,0.1143859649122807
carebench,270,Claude,LMT,0.1143859649122807
carebench,270,Claude,VAC,0.15929824561403508
carebench,270,Claude,LMT,0.15929824561403508
carebench,270,Claude,VAC,0.20491228070175438
carebench,270,Claude,LMT,0.20491228070175438
carebench,270,Claude,VAC,0.256140350877193
carebench,270,Claude,LMT,0.256140350877193
carebench,270,Claude,VAC,0.29333333333333333
carebench,270,Claude,LMT,0.29333333333333333
carebench,270,Claude,DIR,0.33403508771929824
carebench,270,Claude,TSH,0.33403508771929824
carebench,270,Claude,TEN,0.36210526315789476
carebench,270,Claude,VAC,0.36210526315789476
carebench,270,Claude,LMT,0.36210526315789476
carebench,270,Claude,TEN,0.535438596491228
carebench,270,Claude,VAC,0.535438596491228
carebench,270,Claude,LMT,0.535438596491228
carebench,270,Claude,TEN,0.5768421052631579
carebench,270,Claude,NAC,0.5768421052631579
carebench,270,Claude,DIR,0.5768421052631579
carebench,270,Claude,DIR,0.6743859649122808
carebench,270,Claude,TSH,0.6743859649122808
carebench,270,Claude,QCL,0.7052631578947368
carebench,270,Claude,QCL,0.7607017543859649
carebench,270,Claude,QCL,0.8161403508771929
carebench,270,Claude,DIR,0.8491228070175438
carebench,270,Claude,TSH,0.8491228070175438
carebench,270,Claude,VAC,0.8673684210526316
carebench,270,Claude,NAC,0.8673684210526316
carebench,270,Claude,LMT,0.8673684210526316
carebench,270,Claude,QOP,0.9614035087719298
hope,152,Qwen,SEN,0.0
hope,152,Qwen,SEN,0.09444798978940651
hope,152,Qwen,DIR,0.20102105934907466
hope,152,Qwen,DIR,0.22910019144862795
hope,152,Qwen,DIR,0.26419910657306955
hope,152,Qwen,DIR,0.34077855775366944
hope,152,Qwen,DIR,0.4958519463943842
hope,152,Qwen,DIR,0.5226547543075941
hope,152,Qwen,DIR,0.7192086790044672
hope,152,Qwen,FIX,0.0
hope,152,Qwen,FIX,0.20102105934907466
hope,152,Qwen,FIX,0.22910019144862795
hope,152,Qwen,FIX,0.26419910657306955
hope,152,Qwen,FIX,0.34077855775366944
hope,152,Qwen,FIX,0.4958519463943842
hope,152,Qwen,FIX,0.5226547543075941
hope,152,Qwen,FIX,0.7192086790044672
hope,152,Qwen,RECT,0.20102105934907466
hope,152,Qwen,RECT,0.22910019144862795
hope,152,Qwen,RECT,0.26419910657306955
hope,152,Qwen,RECT,0.34077855775366944
hope,152,Qwen,RECT,0.5226547543075941
hope,152,Qwen,RECT,0.7192086790044672
hope,152,Qwen,LMT,0.09444798978940651
hope,152,Qwen,VAC,0.0
hope,152,Qwen,SAC,0.8194001276324187
hope,152,Qwen,SAC,0.8851308232291002
hope,152,Qwen,SAC,0.9144862795149968
carebench,232,Human,VAC,0.0
carebench,232,Human,NAC,0.30303030303030304
carebench,232,Human,QOP,0.702020202020202
pair,17,Qwen,SEN,0.0
pair,17,Qwen,TEN,0.0
pair,17,Qwen,VAC,0.0
pair,17,Qwen,NAC,0.06188925081433225
pair,17,Qwen,VAC,0.06188925081433225
pair,17,Qwen,VAC,0.16938110749185667
pair,17,Qwen,VAC,0.2269272529858849
pair,17,Qwen,LMT,0.2269272529858849
pair,17,Qwen,NAC,0.3262757871878393
pair,17,Qwen,VAC,0.3262757871878393
pair,17,Qwen,TSH,0.40553745928338764
pair,17,Qwen,DIR,0.43268186753528776
pair,17,Qwen,NAC,0.4717698154180239
pair,17,Qwen,VAC,0.5884907709011944
pair,17,Qwen,SAC,0.5884907709011944
pair,17,Qwen,DIR,0.6845819761129207
pair,17,Qwen,NAC,0.6981541802388708
pair,17,Qwen,VAC,0.6981541802388708
pair,17,Qwen,DIR,0.8566775244299675
pair,17,Qwen,NAC,0.8680781758957655
pair,17,Qwen,VAC,0.8680781758957655
hope,53,Human,SAC,0.051181102362204724
hope,53,Human,MEN,0.3031496062992126
hope,53,Human,SAC,0.32677165354330706
hope,53,Human,TEN,0.4448818897637795
hope,53,Human,TSH,0.4448818897637795
carebench,8,Claude,LMT,0.02914798206278027
carebench,8,Claude,VAC,0.12443946188340807
carebench,8,Claude,NAC,0.1804932735426009
carebench,8,Claude,SAC,0.2399103139013453
carebench,8,Claude,LMT,0.3015695067264574
carebench,8,Claude,QOP,0.5044843049327354
carebench,8,Claude,SAC,0.5885650224215246
carebench,8,Claude,SAC,0.7477578475336323
carebench,8,Claude,ASAC,0.8654708520179372
carebench,8,Claude,ASAC,0.9405829596412556
hope,249,Human,QCL,0.0
hope,249,Human,LMT,0.0
hope,249,Human,AUR,0.0
hope,234,Claude,DIR,0.0
hope,234,Claude,FIX,0.0
hope,234,Claude,RECT,0.0
hope,234,Claude,SAC,0.021956087824351298
hope,234,Claude,VAC,0.15269461077844312
hope,234,Claude,NAC,0.15269461077844312
hope,234,Claude,SAC,0.282435129740519
hope,234,Claude,QOP,0.3343313373253493
hope,234,Claude,AUR,0.37924151696606784
hope,234,Claude,TEN,0.37924151696606784
hope,234,Claude,LMT,0.6526946107784432
hope,234,Claude,DIR,0.7265469061876247
hope,234,Claude,SAC,0.7265469061876247
hope,234,Claude,ASAC,0.7265469061876247
hope,234,Claude,QOP,0.9031936127744511
counselchat,49,Gemini,VAC,0.0
counselchat,49,Gemini,TEN,0.0
counselchat,49,Gemini,LMT,0.05755015839493136
counselchat,49,Gemini,NAC,0.06599788806758183
counselchat,49,Gemini,TEN,0.12988384371700107
counselchat,49,Gemini,AUR,0.14889123548046462
counselchat,49,Gemini,DIR,0.2518479408658923
counselchat,49,Gemini,TSH,0.2518479408658923
counselchat,49,Gemini,DIR,0.3115100316789863
counselchat,49,Gemini,RECT,0.324181626187962
counselchat,49,Gemini,DIR,0.36958817317845827
counselchat,49,Gemini,AUR,0.36958817317845827
counselchat,49,Gemini,RECT,0.6140443505807814
counselchat,49,Gemini,DIR,0.6884899683210137
counselchat,49,Gemini,NAC,0.6884899683210137
counselchat,49,Gemini,DIR,0.7729672650475184
counselchat,49,Gemini,RECT,0.7729672650475184
counselchat,49,Gemini,RECT,0.7998944033790919
counselchat,49,Gemini,RECT,0.8695881731784583
counselchat,49,Gemini,RECT,0.926610348468849
carebench,333,GPT,VAC,0.0
carebench,333,GPT,NAC,0.0
carebench,333,GPT,DIR,0.0840446487196323
carebench,333,GPT,FIX,0.0840446487196323
carebench,333,GPT,RECT,0.28365068942875904
carebench,333,GPT,DIR,0.28365068942875904
carebench,333,GPT,NAC,0.3585029546946816
carebench,333,GPT,DIR,0.40446487196323044
carebench,333,GPT,RECT,0.46421536441234407
carebench,333,GPT,DIR,0.46421536441234407
carebench,333,GPT,RECT,0.551543007222587
carebench,333,GPT,DIR,0.551543007222587
carebench,333,GPT,FIX,0.551543007222587
carebench,333,GPT,DIR,0.8154957321076822
carebench,333,GPT,FIX,0.8995403808273145
carebench,333,GPT,DIR,0.8995403808273145
hope,136,Claude,AUR,0.0
hope,136,Claude,DIR,0.09252912954078135
hope,136,Claude,DIR,0.10829335161069226
hope,136,Claude,DIR,0.21932830705962988
hope,136,Claude,DIR,0.28032899246058945
hope,136,Claude,DIR,0.3708019191226868
hope,136,Claude,DIR,0.4174091843728581
hope,136,Claude,DIR,0.5017135023989033
hope,136,Claude,DIR,0.6422206991089787
hope,136,Claude,QCL,0.7799862919808088
hope,136,Claude,DIR,0.8211103495544894
hope,136,Claude,QCL,0.8793694311172036
hope,136,Claude,RECT,0.45030843043180263
hope,136,Claude,RECT,0.6422206991089787
hope,136,Claude,RECT,0.8793694311172036
hope,136,Claude,FIX,0.4174091843728581
hope,136,Claude,FIX,0.6422206991089787
hope,136,Claude,FIX,0.8793694311172036
hope,136,Claude,TSH,0.4174091843728581
hope,136,Claude,TSH,0.6422206991089787
hope,136,Claude,TSH,0.8793694311172036
hope,136,Claude,NAC,0.05483207676490747
hope,136,Claude,NAC,0.10829335161069226
hope,136,Claude,NAC,0.21932830705962988
hope,136,Claude,NAC,0.3708019191226868
hope,136,Claude,NAC,0.5017135023989033
hope,136,Claude,VAC,0.0
hope,136,Claude,VAC,0.05483207676490747
hope,136,Claude,VAC,0.21932830705962988
hope,136,Claude,VAC,0.3708019191226868
hope,136,Claude,VAC,0.5017135023989033
hope,136,Claude,SAC,0.6422206991089787
hope,136,Claude,SAC,0.8793694311172036
hope,136,Claude,ASAC,0.8793694311172036
hope,136,Claude,LMT,0.04660726525017135
hope,136,Claude,LMT,0.18094585332419466
hope,136,Claude,LMT,0.19328307059629884
hope,136,Claude,LMT,0.5085675119945168
hope,136,Claude,LMT,0.10212474297464016
hope,136,Claude,LMT,0.46058944482522274
hope,136,Claude,LMT,0.6525017135023989
hope,136,Claude,LMT,0.7799862919808088
hope,136,Claude,LMT,0.6271418779986292
hope,136,Claude,LMT,0.0075394105551747775
hope,136,Claude,LMT,0.03769705277587389
hope,136,Claude,LMT,0.5215901302261823
hope,136,Claude,LMT,0.5784784098697738
hope,136,Claude,LMT,0.6675805346127485
hope,136,Claude,LMT,0.9403701165181632
hope,136,Claude,LMT,0.9664153529814942
hope,136,Claude,LMT,0.9849211788896505
hope,136,Claude,LMT,0.8855380397532556
hope,136,Claude,LMT,0.934201507882111
hope,136,Claude,LMT,0.9520219328307059
hope,136,Claude,LMT,0.9588759424263193
hope,136,Claude,LMT,0.7888965044551063
hope,136,Claude,LMT,0.8080877313228239
hope,136,Claude,LMT,0.8457847840986977
hope,136,Claude,LMT,0.8656614119259767
hope,136,Claude,LMT,0.7662782727895819
hope,136,Claude,LMT,0.7607950651130911
hope,136,Claude,LMT,0.7539410555174777
hope,136,Claude,LMT,0.796435915010281
hope,136,Claude,LMT,0.8211103495544894
hope,136,Claude,LMT,0.8320767649074708
hope,136,Claude,LMT,0.8629198080877313
hope,136,Claude,LMT,0.8711446196024675
hope,136,Claude,LMT,0.8793694311172036
hope,136,Claude,LMT,0.8937628512679918
hope,136,Claude,LMT,0.9129540781357094
hope,136,Claude,LMT,0.9287183002056203
hope,136,Claude,LMT,0.969842357779301
hope,136,Claude,LMT,0.9808087731322824
hope,136,Claude,LMT,0.9890335846470185
hope,136,Claude,LMT,0.7210418094585332
hope,136,Claude,LMT,0.7320082248115147
hope,136,Claude,LMT,0.29472241261137766
hope,136,Claude,LMT,0.6422206991089787
hope,136,Claude,LMT,0.6490747087045922
hope,136,Claude,LMT,0.6634681288553804
hope,136,Claude,LMT,0.6710075394105551
hope,136,Claude,LMT,0.6874571624400274
hope,136,Claude,LMT,0.7025359835503769
hope,136,Claude,LMT,0.4174091843728581
hope,136,Claude,LMT,0.429061000685401
hope,136,Claude,LMT,0.44756682659355723
hope,136,Claude,LMT,0.4660726525017135
hope,136,Claude,LMT,0.47978067169294036
hope,136,Claude,LMT,0.49417409184372857
hope,136,Claude,LMT,0.5017135023989033
hope,136,Claude,LMT,0.5133653187114462
hope,136,Claude,LMT,0.5325565455791638
hope,136,Claude,LMT,0.5442083618917066
hope,136,Claude,LMT,0.5606579849211789
hope,136,Claude,LMT,0.5750514050719671
hope,136,Claude,LMT,0.5915010281014393
hope,136,Claude,LMT,0.6175462645647704
hope,136,Claude,LMT,0.6333104866346813
hope,136,Claude,LMT,0.28032899246058945
hope,136,Claude,LMT,0.3098012337217272
hope,136,Claude,LMT,0.32145305003427005
hope,136,Claude,LMT,0.33241946538725153
hope,136,Claude,LMT,0.3427004797806717
hope,136,Claude,LMT,0.3570938999314599
hope,136,Claude,LMT,0.3708019191226868
hope,136,Claude,LMT,0.3865661411925977
hope,136,Claude,LMT,0.3968471555860178
hope,136,Claude,LMT,0.0
hope,136,Claude,LMT,0.017135023989033583
hope,136,Claude,LMT,0.02810143934201508
hope,136,Claude,LMT,0.03427004797806717
hope,136,Claude,LMT,0.05483207676490747
hope,136,Claude,LMT,0.06579849211788896
hope,136,Claude,LMT,0.08293351610692255
hope,136,Claude,LMT,0.09252912954078135
hope,136,Claude,LMT,0.10829335161069226
hope,136,Claude,LMT,0.1343385880740233
hope,136,Claude,LMT,0.15421521590130227
hope,136,Claude,LMT,0.1782042494859493
hope,136,Claude,LMT,0.19054146675805347
hope,136,Claude,LMT,0.19808087731322824
hope,136,Claude,LMT,0.21041809458533242
hope,136,Claude,LMT,0.21932830705962988
hope,136,Claude,LMT,0.23098012337217272
hope,136,Claude,LMT,0.25085675119945167
hope,136,Claude,LMT,0.26525017135023987
hope,235,Claude,VAC,0.0
hope,235,Claude,DIR,0.008050089445438283
hope,235,Claude,LMT,0.03756708407871199
hope,235,Claude,VAC,0.09123434704830054
hope,235,Claude,DIR,0.1368515205724508
hope,235,Claude,SAC,0.26744186046511625
hope,235,Claude,DIR,0.29785330948121647
hope,235,Claude,VAC,0.37835420393559926
hope,235,Claude,DIR,0.5035778175313059
hope,235,Claude,SAC,0.6028622540250447
hope,235,Claude,DIR,0.6833631484794276
hope,235,Claude,DIR,0.721824686940966
hope,235,Claude,DIR,0.8237924865831843
hope,235,Claude,SAC,0.9069767441860465
hope,235,Claude,QOP,0.9427549194991055
carebench,221,Human,VAC,0.0
carebench,221,Human,NAC,0.0
carebench,221,Human,DIR,0.20634920634920634
carebench,221,Human,LMT,0.498015873015873
carebench,221,Human,QOP,0.6527777777777778
carebench,221,Human,QCL,0.8095238095238095
hope,103,Llama,AUR,0.0
hope,103,Llama,TEN,0.06366559485530547
hope,103,Llama,VAC,0.06366559485530547
hope,103,Llama,NAC,0.06366559485530547
hope,103,Llama,AUR,0.17106109324758842
hope,103,Llama,VAC,0.17106109324758842
hope,103,Llama,AUR,0.30996784565916397
hope,103,Llama,VAC,0.30996784565916397
hope,103,Llama,DIR,0.3633440514469453
hope,103,Llama,RECT,0.3633440514469453
hope,103,Llama,SAC,0.4585209003215434
hope,103,Llama,VAC,0.4585209003215434
hope,103,Llama,NAC,0.5266881028938907
hope,103,Llama,AUR,0.5884244372990354
hope,103,Llama,DIR,0.6488745980707395
hope,103,Llama,RECT,0.6488745980707395
hope,103,Llama,QOP,0.754983922829582
hope,103,Llama,QOP,0.797427652733119
hope,103,Llama,QOP,0.8559485530546623
hope,103,Llama,SAC,0.9254019292604502
carebench,296,Llama,LMT,0.0
carebench,296,Llama,AUR,0.0
carebench,296,Llama,VAC,0.0
carebench,296,Llama,LMT,0.07232472324723248
carebench,296,Llama,AUR,0.07232472324723248
carebench,296,Llama,VAC,0.07232472324723248
carebench,296,Llama,NAC,0.2044280442804428
carebench,296,Llama,AUR,0.25830258302583026
carebench,296,Llama,TEN,0.25830258302583026
carebench,296,Llama,AUR,0.3416974169741697
carebench,296,Llama,VAC,0.3416974169741697
carebench,296,Llama,NAC,0.4044280442804428
carebench,296,Llama,TEN,0.43837638376383764
carebench,296,Llama,RECT,0.43837638376383764
carebench,296,Llama,TEN,0.5409594095940959
carebench,296,Llama,DIR,0.588929889298893
carebench,296,Llama,RECT,0.588929889298893
carebench,296,Llama,DIR,0.6597785977859778
carebench,296,Llama,ASAC,0.6597785977859778
carebench,296,Llama,SAC,0.692250922509225
carebench,296,Llama,SIN,0.692250922509225
carebench,296,Llama,SAC,0.744649446494465
carebench,296,Llama,SIN,0.744649446494465
carebench,296,Llama,SAC,0.7815498154981549
carebench,296,Llama,SIN,0.7815498154981549
carebench,296,Llama,SAC,0.8642066420664206
carebench,296,Llama,SIN,0.8642066420664206
carebench,296,Llama,SAC,0.933579335793358
carebench,296,Llama,SIN,0.933579335793358
hope,170,Human,LMT,0.0
hope,170,Human,VAC,0.0
hope,170,Human,SEN,0.0
hope,19,Human,SAC,0.01048951048951049
hope,19,Human,DIR,0.07342657342657342
hope,19,Human,SAC,0.2692307692307692
hope,19,Human,QCL,0.34615384615384615
hope,19,Human,MEN,0.4178321678321678
hope,19,Human,DIR,0.4318181818181818
hope,19,Human,FIX,0.4318181818181818
hope,19,Human,ASAC,0.5786713286713286
hope,19,Human,LMT,0.7045454545454546
hope,19,Human,QOP,0.9632867132867133
hope,192,Qwen,LMT,0.0
hope,192,Qwen,VAC,0.0
hope,192,Qwen,NAC,0.1078114912846998
